CD_SETOR,NUMPOINTS
"355030801000001",1
"355030801000002",0
"355030801000003",0
"355030801000004",1
"355030801000005",1
"355030801000007",0
"355030801000009",0
"355030801000010",0
"355030801000011",0
"355030801000012",1
"355030801000013",0
"355030801000015",0
"355030801000016",1
"355030801000017",0
"355030801000018",1
"355030801000019",0
"355030801000020",0
"355030801000021",1
"355030801000022",0
"355030801000023",1
"355030801000024",0
"355030801000025",0
"355030801000028",0
"355030801000030",0
"355030801000031",1
"355030801000032",0
"355030801000033",0
"355030801000034",0
"355030801000035",0
"355030801000036",0
"355030801000038",0
"355030801000039",0
"355030801000040",0
"355030801000042",0
"355030801000043",0
"355030801000044",1
"355030801000045",0
"355030801000046",0
"355030801000047",0
"355030801000048",0
"355030801000049",2
"355030801000050",1
"355030801000051",1
"355030801000052",0
"355030801000053",1
"355030801000056",0
"355030801000057",0
"355030801000060",0
"355030801000061",0
"355030801000063",0
"355030801000064",0
"355030801000065",0
"355030801000066",0
"355030801000067",0
"355030801000068",1
"355030801000069",0
"355030801000072",0
"355030801000073",0
"355030801000074",0
"355030801000075",0
"355030801000077",0
"355030801000079",0
"355030801000084",0
"355030801000085",0
"355030801000086",0
"355030801000088",0
"355030801000089",0
"355030801000090",0
"355030801000091",0
"355030801000092",1
"355030801000095",1
"355030801000096",0
"355030801000097",0
"355030801000098",1
"355030801000099",0
"355030801000100",0
"355030801000103",0
"355030801000104",0
"355030801000105",0
"355030801000106",0
"355030801000107",1
"355030801000108",0
"355030801000109",0
"355030801000110",1
"355030801000111",1
"355030801000112",1
"355030801000113",2
"355030801000114",0
"355030801000115",0
"355030801000116",0
"355030801000117",0
"355030801000118",0
"355030801000122",1
"355030801000123",0
"355030801000124",0
"355030801000125",0
"355030801000127",0
"355030801000128",0
"355030801000130",0
"355030801000131",0
"355030801000132",0
"355030801000133",0
"355030801000134",0
"355030801000135",0
"355030801000136",1
"355030801000137",0
"355030801000138",0
"355030801000139",0
"355030801000140",1
"355030801000141",0
"355030801000142",0
"355030801000143",0
"355030801000144",0
"355030801000145",0
"355030801000146",0
"355030801000147",0
"355030801000148",0
"355030801000149",0
"355030801000150",0
"355030801000151",0
"355030801000152",0
"355030801000153",0
"355030801000154",2
"355030801000155",0
"355030801000156",0
"355030801000157",0
"355030801000158",0
"355030801000159",0
"355030801000160",0
"355030801000161",0
"355030801000162",0
"355030801000163",0
"355030801000164",0
"355030801000165",0
"355030801000166",0
"355030801000167",0
"355030801000168",0
"355030801000169",0
"355030801000170",0
"355030801000171",0
"355030801000172",0
"355030801000173",0
